Gest;sent;name;value;pos;feats;num;anim;modifier
pgb-palm-contact-complex-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w5;пьянке;NOUN;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;PGB-index-contact-simple-down И рассказывает ему историю их знакомства PGE и PGB-index-contact-simple-down ему что-то не нравится PGE.;w4;историю;NOUN;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;sg;abstract;No
pgb-palm-contact-simple-down;Там PGB-index-contact-simple-down у него было отрицание PGE.;w4;отрицание;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;Правда это, не правда, не важно. PGB-other-nocontact-complex-up Но этот PGE PGB-other-contact-simple-down человек под влиянием PGE алкоголя.;w3;влиянием;NOUN;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;То есть это, PGB-palm-contact-simple-down ожидание - реальность PGE как бы. PGB-palm-nocontact-simple-vertical То есть как бы PGE.;w1;ожидание;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;То есть это, PGB-palm-contact-simple-down ожидание - реальность PGE как бы. PGB-palm-nocontact-simple-vertical То есть как бы PGE.;w3;реальность;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;PGB-index-contact-simple-down Дедушка в шоке PGE.;w3;шоке;NOUN;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;Нет, PGB-index-contact-simple-down тут к сожалению PGE, тут не.;w3;сожалению;NOUN;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-contact-simple-down;Окей, у меня PGB-index-contact-simple-down предположение одно PGE, что это, PGB-index-contact-simple-down что это что он PGE говорит, что PGB-index-contact-simple-down это его девушка PGE.;w1;предположение;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;other
pgb-palm-contact-simple-down;Все, счастливую PGB-palm-contact-simple-down историю делаем PGE?;w1;историю;NOUN;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;sg;abstract;other
pgb-palm-contact-simple-vertical;Но в общем, PGB-index-contact-simple-vertical это действительно какая-то тропическая страна PGE.;w5;страна;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;Indef
pgb-palm-contact-simple-vertical;Мы не знаем кто это. PGB-palm-contact-simple-vertical Да, в общем он пришел домой после PGE PGB-palm-contact-complex-vertical того как ему на пьянке рассказали PGE, PGB-palm-nocontact-complex-vertical что видели его жену PGE. PGB-palm-nocontact-complex-vertical Что она с кем-то общалась PGE. PGB-palm-contact-simple-vertical Очень дружелюбно.;w3;общем;NOUN;Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing;sg;abstract;other
pgb-palm-nocontact-complex-down;И так понимаю, что он PGB-palm-nocontact-simple-down не доволен PGE вот этой PGB-palm-nocontact-complex-down вот этим общением PGE PGB-palm-nocontact-complex-down между мужчиной и женщиной PGE.;w3;общением;NOUN;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;sg;abstract;dem
pgb-palm-nocontact-complex-down;Вот, и он вот, PGB-index-nocontact-complex-down под влиянием алкоголя PGE.;w2;влиянием;NOUN;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-nocontact-complex-down;А PGB-palm-nocontact-complex-down те в принципе особо PGE не.;w3;принципе;NOUN;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-nocontact-complex-up;Но PGB-index-nocontact-complex-up мальчик на них смотрит с презрением PGE.;w6;презрением;NOUN;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-nocontact-complex-vertical;PGB-index-nocontact-simple-down Ну смотри, у него PGE PGB-index-nocontact-complex-vertical с одной стороны покорное PGE выражение лица, но с другой стороны скажем так, такая сдавленная улыбка.;w3;стороны;NOUN;Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing;sg;abstract;Other
pgb-palm-nocontact-simple-down;Ну это PGB-palm-nocontact-simple-down стандартная ситуация PGE, да, то есть, если меня там нет, значит им плохо.;w2;ситуация;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;abstract;dem
pgb-palm-nocontact-simple-vertical;Ну PGB-palm-nocontact-simple-vertical хотя бы он PGB-palm-nocontact-complex-down не вижу тут ни нотки раскаяние нигде PGE.;w10;раскаяние;NOUN;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;sg;abstract;no
pgb-palm-nocontact-simple-vertical;Ну в смысле, что PGB-palm-nocontact-simple-vertical это по прошествии времени PGE.;w3;прошествии;NOUN;Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing;sg;abstract;no
pgb-palm-nocontact-simple-vertical;Ну в смысле, что PGB-palm-nocontact-simple-vertical это по прошествии времени PGE.;w4;времени;NOUN;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;sg;abstract;no
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Что либо это PGE PGB его отец PGE, PGB-index-contact-simple-down который рассказывает ему PGB, как PGB-index-contact-complex-down они познакомились с его мамой PGE.;w11;мамой;NOUN;Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing;sg;Anim;Pp
pgb-index-contact-complex-down;PGB-index-contact-complex-down И его вот эти друганы PGE его зовут.;w5;друганы;NOUN;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;pl;Anim;dem
pgb-index-contact-complex-down;Да. PGB-index-contact-complex-down Даже видно эти пальмы PGE эти.;w4;пальмы;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur;pl;anim;dem
pgb-index-contact-complex-down;И PGB-index-contact-complex-down родители явно не PGE довольны.;w1;родители;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur;pl;Anim;No
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down он не хочет уже с этими людьми вообще PGE ничего иметь общего.;w7;людьми;NOUN;Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur;pl;anim;dem
pgb-index-nocontact-simple-vertical;"Это тот самый мальчик? А, PGB-index-nocontact-simple-vertical эти друганы PGE! ""Пойдем ко мне!"" Мне кажется на островах это ну типа нормально, что ты алкоголик.";w2;друганы;NOUN;Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur;pl;Anim;dem
pgb-index-contact-simple-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w1;чувак;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down А, вот дед PGE PGB-index-contact-complex-down скорее всего это отец PGE, наверное.;w4;отец;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-complex-down И сын смотрит PGE PGB-index-contact-complex-down на это все тоже как-бы PGE.;w2;сын;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-complex-down;PGB-index-contact-complex-down Мама мальчика PGE.;w1;мама;NOUN;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;sg;Anim;no
pgb-index-contact-simple-down;PGB-index-contact-complex-down Мама мальчика PGE.;w2;мальчика;NOUN;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;Это PGB-index-contact-complex-down скорее всего отец PGE, отец девушки либо PGB-index-nocontact-complex-down отец PGE парня.;w3;отец;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-complex-down;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w1;жена;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;Ну PGB-index-contact-complex-down тут ребенок PGE все портит.;w2;ребенок;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-complex-down;То есть PGB-index-contact-complex-down он говорит, что ему, наверное, товарищ PGE рассказал, что PGB-index-contact-simple-down она флиртовала PGE PGB-index-nocontact-simple-down каким-то парнем PGE, продающим газеты.;w6;товарищ;NOUN;Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur;sg;Anim;no
pgb-index-contact-simple-down;Я PGB-index-contact-complex-down так понимаю, что это один человек PGE.;w6;человек;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;other
pgb-index-contact-complex-down;PGB-index-contact-complex-down Это его это его сын PGE.;w5;сын;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;pp
pgb-index-contact-complex-down;PGB-index-contact-complex-down Может это его девушка PGE.;w4;девушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;pp
pgb-index-contact-complex-vertical;Хотя PGB-index-contact-complex-vertical ребенок мог как бы с ним PGE вместе прийти, да, и там встать в сторону, ждать, что- что мама с дедом сделает.;w1;ребенок;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;А, PGB-index-contact-simple-down это PGE PGB-index-contact-simple-down та же самая девушка PGE.;w4;девушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down И это этот парень PGE который, PGB-index-contact-simple-down наверное, в тюрьму и попал PGE за то, что PGB-iindex-contact-complex-down он избил ее PGE.;w4;парень;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;Anim;dem
pgb-index-contact-simple-down;Окей, у меня PGB-index-contact-simple-down предположение одно PGE, что это, PGB-index-contact-simple-down что это что он PGE говорит, что PGB-index-contact-simple-down это его девушка PGE.;w3;девушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;Эм. PGB-index-nocontact-simple-down Этот больше похож не на брата, а на отца PGE PGB-index-contact-simple-down вот этого мальчика PGE.;w3;мальчика;NOUN;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;Да, наверное, и PGB-index-contact-simple-down вот это этот мальчик PGE PGB-index-nocontact-simple-down с первой фотографии PGE, PGB-index-nocontact-simple-down это его папа с первой фотографии PGE, вот.;w4;мальчик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down Это посмотри PGE, PGB-index-contact-simple-down это тот же мужик PGE.;w4;мужик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down А вот этой женщины уже нету PGE. PGB-index-contact-simple-down А нет, это PGE.;w4;женщины;NOUN;Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down То есть вот это дед PGE, PGB-index-nocontact-simple-down а это PGE, PGB-index-nocontact-complex-down ну, жена PGE.;w5;дед;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;Anim;dem
pgb-index-contact-simple-down;Это другой ребенок а это от а это PGB-index-contact-simple-down уже от этого мужика PGE.;w4;мужика;NOUN;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;Потом, почему-то PGB-index-contact-simple-down мне кажется, что вот этот вот парень PGE вообще не имеет PGB-index-nocontact-complex-down отношения к ним PGE.;w7;парень;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;Anim;dem
pgb-index-contact-simple-down;PGB-index-contact-simple-down А, вот дед PGE PGB-index-contact-complex-down скорее всего это отец PGE, наверное.;w3;дед;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-contact-simple-down;Да. PGB-index-contact-simple-down Ну мальчик PGE явно не слишком доверчиво слушает.;w2;мальчик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;Угу. PGB-other-nocontact-simple-down А можно PGE? PGB-index-contact-simple-down Это наверное мама PGE.;w3;мама;NOUN;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;sg;Anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Мальчик PGE грустный.;w1;мальчик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Ну а дед в позиции готовой PGE защищать, если честно.;w3;дед;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;Anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Мальчик подрос PGE.;w1;мальчик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-complex-down А вот смотри, турист тоже PGE, да. PGB-index-contact-simple-down Да, это PGE короче, PGB-index-contact-complex-down турист договорился PGE.;w4;турист;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-complex-down А вот смотри, турист тоже PGE, да. PGB-index-contact-simple-down Да, это PGE короче, PGB-index-contact-complex-down турист договорился PGE.;w1;турист;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;Эм, вот. PGB-index-contact-simple-down Короче девушка PGE PGB-other-contact-complex-down пришла в полицию.;w2;девушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down А дедушка так PGE сердит, палочку зажимает, бровки хмурит.;w2;дедушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Мужчина PGE.;w1;мужчина;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;PGB-index-contact-simple-down Дедушка в шоке PGE.;w1;дедушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-contact-simple-down;Та PGB-index-contact-simple-down женщина, которую PGE PGB-index-contact-simple-down ударили и мужчина PGE, который ее побил.;w3;мужчина;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;other
pgb-index-contact-simple-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w4;девушку;NOUN;Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing;sg;anim;pp
pgb-index-contact-simple-up;PGB-index-contact-simple-up Продавец PGE.;w1;продавец;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-contact-simple-vertical;Да. PGB-other-contact-simple-vertical Ну смотри, главное этот дедок еще там PGE.;w5;дедок;NOUN;Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-nocontact-complex-down;PGB-index-nocontact-simple-down Так это был тот самый PGE а! PGB-index-nocontact-complex-down Это не тот мужик PGE.;w4;мужик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-nocontact-complex-down;Короче, PGB-palm-contact-simple-down его PGE PGB-palm-nocontact-complex-down вот эта вот семейка PGE, PGB-palm-nocontact-complex-down видимо, избила PGE.;w4;семейка;NOUN;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;sg;Anim;dem
pgb-index-nocontact-complex-down;Нет, тут PGB-index-contact-simple-down смотри, вот этот PGE PGB-index-contact-complex-down чувак ему говорит о том, что PGE PGB-index-contact-simple-down он якобы там PGE, PGB-index-nocontact-complex-down что эта девушка PGE.;w3;девушка;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;dem
pgb-index-nocontact-complex-down;Еще там есть PGE PGB-index-nocontact-complex-down какой-то мужик PGE.;w2;мужик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;Indef
pgb-index-nocontact-complex-down;Причем дедушка PGE PGB-index-nocontact-complex-down с бабушкой тоже как-то недружелюбно PGE настроены PGB-index-nocontact-complex-down относительно PGE вот этого человека.;w2;бабушкой;NOUN;Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing;sg;Anim;no
pgb-index-nocontact-complex-down;PGB-index-contact-simple-down То есть вот это дед PGE, PGB-index-nocontact-simple-down а это PGE, PGB-index-nocontact-complex-down ну, жена PGE.;w2;жена;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down А жена не сделала PGE, PGB-index-nocontact-complex-down поэтому когда он вышел PGE, PGB-index-nocontact-complex-down он пошел напрямую ей морду PGE бить.;w2;жена;NOUN;Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing;sg;anim;no
pgb-index-nocontact-complex-down;И про PGB-index-nocontact-complex-down деда он вообще PGE не вспоминает.;w1;деда;NOUN;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;sg;anim;no
pgb-index-nocontact-complex-down;Это PGB-index-contact-complex-down скорее всего отец PGE, отец девушки либо PGB-index-nocontact-complex-down отец PGE парня.;w1;отец;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;pp
pgb-index-nocontact-complex-down;Я не думаю, мне кажется, это PGB-index-nocontact-complex-down сынок, который его отца PGE, короче, затаил обиду на него. PGB-palm-contact-simple-up Может быть.;w4;отца;NOUN;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;sg;anim;pp
pgb-index-nocontact-complex-up;PGB-index-nocontact-complex-up Она позвала полицию PGE.;w3;полицию;NOUN;Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing;sg;Anim;no
pgb-index-nocontact-complex-up;Но PGB-index-nocontact-complex-up мальчик на них смотрит с презрением PGE.;w1;мальчик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;Anim;no
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down И вот этот PGE PGB-index-nocontact-simple-down папа пришел забирать PGE мальчика.;w1;папа;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-nocontact-simple-down;И явно PGE, PGB-index-nocontact-simple-down может это тот самый человек PGE, PGB-index-nocontact-complex-down который потом пошел PGE в тюрьму.;w5;человек;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А это тот самый дед с первой картинки PGE.;w5;дед;NOUN;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;sg;Anim;dem
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Это он рассказывает то, что ему этот мужик рассказал PGE.;w8;мужик;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
pgb-index-nocontact-simple-down;А PGB-index-nocontact-simple-down вот старичек наблюдает PGE.;w2;старичек;NOUN;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;sg;anim;dem
