gest;sent;value;lemma;feats;anim;conc;emb
pgb-index-contact-complex-down;But then it that looks like the picture from the very beginning with PGB-index-contact-complex-down him with the things PGE strapped on his back.;things;thing;pl;inanim;conc;def
pgb-palm-nocontact-complex-up;How nice PGB-palm-nocontact-complex-up things were PGE before.;things;thing;pl;inanim;conc;other
pgb-palm-nocontact-simple-down;Maybe he is putting it into perspective and not thinking about himself like for the PGB-palm-nocontact-simple-down first time PGE in this situation.;time;time;sg;inanim;abs;def
pgb-palm-nocontact-complex-down;I do not get these two pictures cause in jail PGB-palm-nocontact-complex-down a lot of the time is PGE PGB-palm-nocontact-simple-down him thinking about himself PGE.;time;time;sg;inanim;abs;def
pgb-palm-nocontact-complex-down;PGB-palm-nocontact-complex-down Initial traumas PGE.;traumas;trauma;pl;inanim;abs;other
pgb-index-contact-simple-down;So he is PGB-index-contact-simple-down in PGE PGB-index-contact-simple-down trial PGE.;trial;trial;sg;inanim;abs;other
pgb-index-nocontact-complex-down;And I can not really see looks PGB-index-nocontact-simple-down like maybe PGE PGB-index-nocontact-complex-down there is a wall but PGE PGB-index-contact-complex-down you do not PGE can not really see.;wall;wall;sg;inanim;conc;indef
pgb-index-nocontact-complex-down;He is PGB-index-nocontact-simple-down on his way to work PGE.;way;way;sg;inanim;conc;pp
pgb-index-nocontact-simple-down;And the there was the man PGE PGB-index-nocontact-simple-down and the wife PGE PGB-index-contact-complex-down and the boy PGE.;wife;wife;sg;anim;conc;def
pgb-index-contact-simple-down;I do not know if PGB-index-contact-simple-down this is his wife or PGE not.;wife;wife;sg;anim;conc;pp
pgb-index-contact-complex-down;Yeah and PGB-index-contact-complex-down looks like there is like some barbed wire over here PGE.;wire;wire;sg;inanim;conc;indef
pgb-other-nocontact-complex-down;Eh only I guess PGB-other-nocontact-simple-down yeah PGE the PGB-other-nocontact-simple-down the female PGE PGB-other-nocontact-complex-down the woman and the guy who is PGE walking up have sandals but I can not imagine they have any discernible distinction.;woman;woman;sg;anim;conc;def
pgb-other-nocontact-complex-down;uhm in PGB-other-nocontact-complex-down this one there is the woman PGE.;woman;woman;sg;anim;conc;def
pgb-index-nocontact-simple-down;He is PGB-index-nocontact-simple-down on his way to work PGE.;work;work;sg;inanim;abs;other
pgb-index-contact-complex-down;So like PGB-index-contact-complex-down these two look like they have been busy at work PGE.;work;work;pl;inanim;abs;other
pgb-index-contact-simple-down;She PGB-index-contact-simple-down he is doing their work carrying the thing PGE.;work;work;sg;inanim;abs;pp
