pgb-index-contact-complex-down;sent;name;value;pos;feats;class;use
pgb-index-contact-complex-down;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w4;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-complex-down;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w3;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-complex-down;Но PGB-index-nocontact-complex-down тут явно PGE, что не правильно, потому что ребенок подрос к сожалению.;w2;явно;ADV;Degree=Pos;evid_adv;other
pgb-other-nocontact-complex-down;И PGB-other-nocontact-complex-down у них, похоже, какой-то PGE спор. PGB-other-nocontact-simple-down Потому что этот чувак PGE PGB-other-nocontact-complex-down явно недоволен PGE.;w1;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-nocontact-simple-down;Что PGB-index-contact-simple-down его разозлило PGE, PGB-index-nocontact-simple-down потому что он явно тоже недоволен PGE.;w4;явно;ADV;Degree=Pos;evid_adv;other
pgb-index-contact-complex-down;PGB-index-contact-complex-down И сын смотрит PGE PGB-index-contact-complex-down на это все тоже как-бы PGE.;w3;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-palm-nocontact-complex-up;Ну да, мне добавить особо нечего, PGB-palm-nocontact-complex-up тут все как бы ясно PGE.;w2;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-index-nocontact-complex-down;Потому что все, то есть, PGB-index-nocontact-complex-down все вот эти трое PGE, они на одной стороне, смотрят на него.;w1;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-index-contact-simple-down;Как бы, PGB-palm-contact-simple-up непонятно PGE что PGB-index-contact-simple-down все в шлепках PGE!;w1;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-palm-contact-complex-down;Нет, надо, надо, чтобы PGB-palm-contact-complex-down все закончилось вот так PGE.;w1;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-palm-nocontact-simple-up;Ну тоже, это мы так смеемся, на самом деле, это PGB-palm-nocontact-simple-up все очень печально PGE.;w1;все;PRON;Animacy=Anim|Case=Nom|Number=Plur;all;exophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Это наверное вот та вот PGE эта самая женщина.;w4;та;pron;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;dem_p_dist;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Тем более это смотри PGE, PGB-index-nocontact-complex-down это даже, это PGE ну так это.;w1;тем;PRON;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;dem_p_dist;exophoric
pgb-palm-contact-simple-vertical;Ну да, но PGB-palm-contact-simple-vertical ни то PGE PGB-palm-contact-simple-vertical ни это PGE не похоже на тюремные робы, которые мы видим в фильмах обычно.;w2;то;PRON;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;dem_p_dist;exophoric
pgb-index-contact-complex-down;Другой, да? PGB-index-contact-complex-down То есть это не то не один и тот же PGE человек?;w5;то;PRON;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;dem_p_dist;exophoric
pgb-index-contact-complex-down;Потому что PGB-index-contact-simple-down мне кажется у них PGE PGB-index-contact-complex-down они очень похожи с этим PGE мальчиком.;w5;этим;PRON;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-palm-nocontact-complex-down;И так понимаю, что он PGB-palm-nocontact-simple-down не доволен PGE вот этой PGB-palm-nocontact-complex-down вот этим общением PGE PGB-palm-nocontact-complex-down между мужчиной и женщиной PGE.;w2;этим;PRON;Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Потому что он похож PGE PGB-index-contact-simple-down на этого PGE.;w2;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-complex-down;PGB-index-contact-simple-down Но вот этот вот в полосатом, он PGE он вспоминает, выговаривает какую-то ситуацию, PGB-index-contact-complex-down которая произошла вот у этого PGE.;w5;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-simple-down;Эм. PGB-index-nocontact-simple-down Этот больше похож не на брата, а на отца PGE PGB-index-contact-simple-down вот этого мальчика PGE.;w2;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down А че он PGE PGB-index-nocontact-simple-down этого не побил PGE, а барышню побил?;w1;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-simple-vertical;PGB-index-contact-simple-vertical А вот этого не было PGE.;w3;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-simple-down;Это другой ребенок а это от а это PGB-index-contact-simple-down уже от этого мужика PGE.;w3;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-nocontact-simple-down;Глаз тоже PGE нет PGB-index-contact-simple-down то есть у нее они PGE прорисованы глаза, а PGB-index-nocontact-simple-down вот у этого PGE у дитя как-то все не понятно.;w3;этого;PRON;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-index-contact-complex-down;Либо PGB-palm-nocontact-simple-vertical это его друг PGE, PGB-index-contact-complex-down который рассказывает этому PGE парню о том, что PGB-index-contact-simple-down он видел его девушку PGE флиртующей PGB-index-contact-complex-down с другими PGE. PGB-other-nocontact-simple-down И он PGE весь такой, ярость, ярость.;w3;этому;PRON;Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing;dem_p_prox;exophoric
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w1;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-other-contact-simple-vertical;Да. PGB-other-contact-simple-vertical Ну смотри, главное этот дедок еще там PGE.;w7;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-palm-nocontact-complex-up;А PGB-palm-nocontact-complex-up мальчику хорошо PGE, PGB-palm-nocontact-complex-up там пальмы PGE.;w1;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down В общем, кого-то из них там PGE нету.;w6;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-palm-nocontact-complex-vertical;Так вот, в PGB-palm-nocontact-complex-vertical Кубе, ты представляешь какая там какой PGE там будет изолятор.;w5;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-palm-contact-simple-down;PGB-index-contact-simple-down То есть там явно то PGE день.;w3;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-other-nocontact-complex-up;Да, PGB-index-nocontact-complex-up мы сейчас узнаем, что там PGE.;w5;там;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-palm-nocontact-complex-vertical;"Думает, ""так и знал, что это был несогласованный митинг."" ""Они же сказали, что согласованный."" Да, я надеюсь наши данные не будут передаваться PGB-palm-nocontact-complex-vertical туда PGE.";w1;туда;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-index-nocontact-complex-down;PGB-index-nocontact-complex-down Как он туда попал PGE.;w3;туда;ADV;Degree=Pos;loc_adv_dist;exophoric
pgb-index-contact-complex-down;А, PGB-index-contact-complex-down здесь еще алкоголь присутствует PGE.;w1;здесь;ADV;Degree=Pos;loc_adv_pr;exophoric
pgb-palm-nocontact-simple-up;А PGB-palm-nocontact-simple-up они здесь тоже PGE.;w2;здесь;ADV;Degree=Pos;loc_adv_pr;exophoric
pgb-index-nocontact-simple-down;То есть PGB-index-nocontact-simple-down это здесь PGE.;w2;здесь;ADV;Degree=Pos;loc_adv_pr;exophoric
pgb-index-contact-simple-down;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w2;здесь;ADV;Degree=Pos;loc_adv_pr;exophoric
pgb-other-contact-simple-down;Ну да, PGB-other-contact-simple-down он стоит тут PGE. PGB-other-contact-simple-down Там вроде как свобода PGE.;w3;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-other-contact-simple-down;И PGB-other-contact-simple-down тут PGE камера.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;И PGB-index-contact-simple-down ну тут он выглядит старше PGE.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-complex-down;Ну PGB-index-contact-complex-down смотри, тут он PGE шлепки, кстати, носит.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-other-contact-simple-down;Теперь у него PGB-other-contact-simple-down тут PGE уже страх.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;Да, PGB-index-contact-simple-down тут он рассказывает PGE как ему тяжко приходилось.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-down;"PGB-index-nocontact-simple-down И тут PGE он говорит ""Но я обрел свет!"" Да, ко мне пришло осознание.";w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Вот, у него тут PGE у него какое-то такое выражение лица очень грустное.;w4;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-palm-nocontact-complex-up;Ну да, мне добавить особо нечего, PGB-palm-nocontact-complex-up тут все как бы ясно PGE.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-other-contact-simple-up;Эм, ну PGB-other-contact-simple-up тут понятно, что он недоволен, потому что у него рука PGE в кулак сжата.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down И тут они тоже сидят в каком-то PGE бунгало.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-complex-down Хотя нет, тут валяются уже бутылки PGE, то есть они.;w3;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;Ребенка PGB-index-contact-simple-down тоже смотри тут PGE. PGB-index-nocontact-simple-down Да.;w3;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-complex-down;Да, PGB-index-nocontact-complex-down тут явно пропитые PGE физиономии.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-vertical;И, собственно, покрышка есть. я говорю, PGB-index-nocontact-complex-down у него больше, чем у меня PGE PGB-index-nocontact-simple-down было, пока PGE PGB-index-nocontact-simple-vertical в общежитии тут PGE жил.;w3;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Слушай, не не, ты права, тут тоже PGE рассерженный глаз.;w6;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-simple-down;PGB-index-contact-complex-down Ну то есть, тут то явно прошло как минимум PGE несколько лет, да? Да.;w4;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-down;Да оба они как-то знаешь, так. PGB-index-nocontact-simple-down Слушай, тут PGE, PGB-index-contact-complex-down ну ладно, тут не понятно.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-other-nocontact-simple-down;PGB-other-nocontact-simple-down И тут вот дедушка PGE то PGB-index-contact-complex-down тоже самый такой PGE недовольный когда он пришел.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-vertical;Да, или на пути. PGB-index-nocontact-simple-vertical Хотя тут он ребенком PGE.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-palm-contact-simple-down;PGB-palm-contact-simple-down Посмотри, тут уже как-то PGE.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-complex-down;Ну PGB-index-contact-complex-down тут ребенок PGE все портит.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-complex-down;Не, PGB-index-contact-complex-down смотри, вообще вот тут шмотки, которые на нем, выглядят гораздо хуже PGE, чем PGB-index-contact-complex-down то, что ему дают.;w4;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w3;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-palm-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-contact-complex-down;Да, PGB-index-contact-complex-down тут он типа, что он там сидел в темной PGE своей камере.;w1;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-palm-nocontact-simple-vertical;Ну PGB-palm-nocontact-simple-vertical хотя бы он PGB-palm-nocontact-complex-down не вижу тут ни нотки раскаяние нигде PGE.;w7;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ну тут уже сын есть PGE.;w2;тут;pron;Degree=Pos;loc_adv_prox;exophoric
pgb-index-nocontact-simple-vertical;Хотя PGB-index-contact-complex-down жена то тоже явно PGE, вот то, PGB-index-nocontact-simple-vertical что мы в самом начале сказали PGE, да, PGB-index-nocontact-complex-down что она явно PGE PGB-index-nocontact-complex-down Никто на самом деле не счастлив PGE его видеть то по началу.;w2;мы;PRON;Case=Nom|Number=Plur|Person=1;pp_1st_pl;exophoric
pgb-index-nocontact-complex-down;Как-то это PGB-index-nocontact-complex-down мы можем в единую нормальную картинку PGE сделать?;w1;мы;PRON;Case=Nom|Number=Plur|Person=1;pp_1st_pl;exophoric
pgb-index-nocontact-complex-vertical;PGB-index-nocontact-complex-vertical И мы потом узнаем PGE, PGB-index-nocontact-complex-down что же там случилось PGE.;w2;мы;PRON;Case=Nom|Number=Plur|Person=1;pp_1st_pl;exophoric
pgb-index-nocontact-complex-up;Да, PGB-index-nocontact-complex-up мы сейчас узнаем, что там PGE.;w1;мы;PRON;Case=Nom|Number=Plur|Person=1;pp_1st_pl;exophoric
pgb-index-nocontact-complex-down;И, собственно, покрышка есть. я говорю, PGB-index-nocontact-complex-down у него больше, чем у меня PGE PGB-index-nocontact-simple-down было, пока PGE PGB-index-nocontact-simple-vertical в общежитии тут PGE жил.;w6;меня;PRON;Case=Gen|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-contact-simple-down;Потому что PGB-index-contact-simple-down мне кажется у них PGE PGB-index-contact-complex-down они очень похожи с этим PGE мальчиком.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-other-nocontact-simple-vertical;Не знаю, PGB-other-nocontact-simple-vertical мне кажется, что PGE она тоже как-то так.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-nocontact-simple-down;Мне мне нравятся, PGB-index-nocontact-simple-down мне нравятся у старичка PGE штанишки.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-other-nocontact-simple-down;И вот томно улыбался бы, если PGB-other-nocontact-simple-down бы мне выдавали бы одежду PGE.;w2;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-nocontact-complex-down;Ну, ну подожди, PGB-index-nocontact-complex-down мне кажется, что он сказал ему что-то PGE, что его разозлило.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-contact-simple-down;Потом, почему-то PGB-index-contact-simple-down мне кажется, что вот этот вот парень PGE вообще не имеет PGB-index-nocontact-complex-down отношения к ним PGE.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-other-contact-simple-up;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w1;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-palm-contact-complex-down;Вот, теперь PGB-palm-contact-complex-down на самом деле мне интересно, что же у него PGE вызвало такой гнев. А.;w4;мне;PRON;Case=Dat|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down я думаю, что в тюрьме они, наверное, все таки выдают PGE, эм, обувь.;w1;я;PRON;Case=Nom|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-contact-complex-down;Так, PGB-index-contact-complex-down я не знаю, что делает вот этот PGE человек.;w1;я;PRON;Case=Nom|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-contact-complex-down;PGB-index-contact-complex-down Я думаю да PGE.;w1;я;PRON;Case=Nom|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-other-contact-complex-up;PGB-other-contact-complex-up Я так понимаю, это какие-то друзья PGE.;w1;я;PRON;Case=Nom|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-palm-nocontact-simple-vertical;PGB-index-nocontact-simple-vertical Потому что тут видно, что он был недоволен тем, что ему рассказали PGE. PGB-palm-nocontact-simple-vertical А тут он как бы я вижу последствия PGE.;w6;я;PRON;Case=Nom|Number=Sing|Person=1;pp_1st_sg;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w1;ты;PRON;Case=Nom|Number=Sing|Person=2;pp_2nd;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ты как считаешь PGE? PGB-index-nocontact-simple-down Ты считаешь, что это PGE PGB-index-contact-simple-down он PGE PGB-index-contact-simple-down или это он PGE?;w1;ты;PRON;Case=Nom|Number=Sing|Person=2;pp_2nd;exophoric
pgb-palm-nocontact-complex-vertical;Так вот, в PGB-palm-nocontact-complex-vertical Кубе, ты представляешь какая там какой PGE там будет изолятор.;w2;ты;PRON;Case=Nom|Number=Sing|Person=2;pp_2nd;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Слушай, не не, ты права, тут тоже PGE рассерженный глаз.;w4;ты;PRON;Case=Nom|Number=Sing|Person=2;pp_2nd;exophoric
pgb-index-contact-complex-down;PGB-index-contact-simple-down В ярости PGE PGB-index-contact-complex-down ты имеешь в виду PGE мужчина, PGB-index-nocontact-simple-down не дедушка PGE? PGB-index-nocontact-simple-down Да, да, да PGE.;w1;ты;PRON;Case=Nom|Number=Sing|Person=2;pp_2nd;exophoric
pgb-index-contact-simple-down;PGB-index-contact-simple-down Что с ним будет PGE.;w3;ним;PRON;Case=Ins|Gender=Masc|Number=Sing|Person=3;pp_pl;exophoric
pgb-index-contact-complex-vertical;Хотя PGB-index-contact-complex-vertical ребенок мог как бы с ним PGE вместе прийти, да, и там встать в сторону, ждать, что- что мама с дедом сделает.;w6;ним;PRON;Case=Ins|Gender=Masc|Number=Sing|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-down;Потом, почему-то PGB-index-contact-simple-down мне кажется, что вот этот вот парень PGE вообще не имеет PGB-index-nocontact-complex-down отношения к ним PGE.;w3;ним;PRON;Case=Ins|Gender=Masc|Number=Sing|Person=3;pp_pl;exophoric
pgb-index-contact-simple-down;На самом деле, на самом деле, PGB-other-contact-simple-up мне кажется, что это он сидит PGE вот здесь вот, где там этот допрос был, PGB-index-contact-simple-down вот здесь PGE еще, и думает, что PGB-index-contact-simple-down с ним будет в тюрьме PGE.;w2;ним;PRON;Case=Ins|Gender=Masc|Number=Sing|Person=3;pp_pl;exophoric
pgb-index-contact-simple-down;Потому что PGB-index-contact-simple-down мне кажется у них PGE PGB-index-contact-complex-down они очень похожи с этим PGE мальчиком.;w4;них;PRON;Case=Gen|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down Ну да, на них PGE, да.;w4;них;PRON;Case=Gen|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-down;И PGB-index-nocontact-complex-down у них все хорошо PGE.;w2;них;PRON;Case=Gen|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-simple-down;PGB-index-nocontact-simple-down В общем, кого-то из них там PGE нету.;w5;них;PRON;Case=Gen|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-nocontact-complex-up;Но PGB-index-nocontact-complex-up мальчик на них смотрит с презрением PGE.;w3;них;PRON;Case=Gen|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;Или как еще один вариант, возможно он это блудный сын, который вернулся домой, потому что PGB-index-contact-complex-down они немножко похожи PGE.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;Потому что PGB-index-contact-simple-down мне кажется у них PGE PGB-index-contact-complex-down они очень похожи с этим PGE мальчиком.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-other-contact-simple-down;PGB-other-contact-simple-down Они видимо уже PGE того.;w1;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-simple-down;PGB-index-nocontact-simple-down Что либо это PGE PGB его отец PGE, PGB-index-contact-simple-down который рассказывает ему PGB, как PGB-index-contact-complex-down они познакомились с его мамой PGE.;w7;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
pgb-index-contact-complex-down;Ну я PGB-index-contact-complex-down же говорила, они PGE похожи между собой.;w3;они;PRON;Case=Nom|Number=Plur|Person=3;pp_pl;exophoric
